"Login";"Email";"Email1";"Email2";"Email3";"Email4";"Email5";"Firstname";"Lastname";"Title";"Street";"City";"Zip";"Country";"Phone";"Mobile";"Fax";"Comment";"PrimaryOrganisationID";"ValidID";"Password";"Roles";"IsAgent";"IsCustomer";"DynamicField_Source";"OrgNumbers"
"contact012";"contact012@nomail.com";"contact012-2ndmail@nomail.com";"contact012-3rdmail@nomail.com";"contact012-4thmail@nomail.com";;;"Rory";"Williams";"Herr";;"Cardiff";"CF10 4PZ";"United Kingdom";"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"TWD";1;"PASSw0rd";"Asset Reader,Customer Reader,FAQ Reader,Report User,Ticket Agent Base Permission,Ticket Agent (Servicedesk)";1;1;"CSV file";
"contact013";"contact013@nomail.com";"contact013-2ndmail@nomail.com";"contact013-3rdmail@nomail.com";"contact013-4thmail@nomail.com";;;"Clara";"Oswald";"Frau";;"Cardiff";"CF10 4PZ";"United Kingdom";"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"TWD";1;"PASSw0rd";"Asset Reader,Customer Reader,FAQ Reader,Report User,Ticket Agent Base Permission,Ticket Agent (Servicedesk)";1;1;"CSV file";
"contact014";"contact014@nomail.com";"contact014-2ndmail@nomail.com";"contact014-3rdmail@nomail.com";;;;"Adam";"Mitchel";"Herr";;"Cardiff";"CF10 4PZ";"United Kingdom";"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"TWD";1;"PASSw0rd";"Asset Reader,Customer Reader,FAQ Reader,Report User,Ticket Agent Base Permission,Ticket Agent (Servicedesk)";1;1;"CSV file";
"contact015";"contact015@nomail.com";"contact015-2ndmail@nomail.com";"contact015-3rdmail@nomail.com";;;;"Bill";"Potts";"Frau";;"Cardiff";"CF10 4PZ";"United Kingdom";"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"TWD";1;"PASSw0rd";"Asset Reader,Customer Reader,FAQ Reader,Report User,Ticket Agent Base Permission,Ticket Agent (Servicedesk)";1;1;"CSV file";
"contact016";"contact016@nomail.com";"contact016-2ndmail@nomail.com";"contact016-3rdmail@nomail.com";;;;"Ryan";"Sinclair";"Herr";;"Cardiff";"CF10 4PZ";"United Kingdom";"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"TWD";1;"PASSw0rd";"Asset Reader,Customer Reader,FAQ Reader,Report User,Ticket Agent Base Permission,Ticket Agent (Servicedesk)";1;1;"CSV file";
"contact017";"contact017@nomail.com";"contact017-2ndmail@nomail.com";"contact017-3rdmail@nomail.com";;;;"Yasmin";"Khan";"Frau";;"Cardiff";"CF10 4PZ";"United Kingdom";"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"TWD";1;"PASSw0rd";"Asset Reader,Customer Reader,FAQ Reader,Report User,Ticket Agent Base Permission,Ticket Agent (Servicedesk)";1;1;"CSV file";
"contact018";"contact018@nomail.com";"contact018-2ndmail@nomail.com";;;;;"Graham";"Brien";"Herr";;"Cardiff";"CF10 4PZ";"United Kingdom";"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"TWD";1;"PASSw0rd";"Asset Reader,Customer Reader,FAQ Reader,Report User,Ticket Agent Base Permission,Ticket Agent (Servicedesk)";1;1;"CSV file";
"contact019";"contact019@nomail.com";"contact019-2ndmail@nomail.com";;;;;"Stefanie";"Kühnel";"Frau";"Schönherrstr. 8";"Chemnitz";9113;"Germany";"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"KIX";1;"PASSw0rd";"Asset Maintainer,Customer Manager,FAQ Editor,News Manager,Report Manager,Service Contract Manager,Ticket Agent";1;1;"CSV file";
"contact020";"contact020@nomail.com";"contact020-2ndmail@nomail.com";;;;;"Dörte";"Hundt";"Herr";"Schönherrstr. 8";"Chemnitz";9113;"Germany";"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"KIX";1;"PASSw0rd";"Asset Maintainer,Customer Manager,FAQ Editor,News Manager,Report Manager,Service Contract Manager,Ticket Agent";1;1;"CSV file";
"contact021";"contact021@nomail.com";"contact021-2ndmail@nomail.com";;;;;"Clara";"Clemencik";"Frau";"Schönherrstr. 8";"Chemnitz";9113;"Germany";"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"KIX";1;"PASSw0rd";"Asset Maintainer,Customer Manager,FAQ Editor,News Manager,Report Manager,Service Contract Manager,Ticket Agent";1;1;"CSV file";
"contact022";"contact022@nomail.com";"contact022-2ndmail@nomail.com";;;;;"Detlef";"Wutzke";"Herr";"Schönherrstr. 8";"Chemnitz";9113;"Germany";"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"KIX";1;"PASSw0rd";"Asset Maintainer,Customer Manager,FAQ Editor,News Manager,Report Manager,Service Contract Manager,Ticket Agent";1;1;"CSV file";
"contact023";"contact023@nomail.com";"contact023-2ndmail@nomail.com";;;;;"Andre";"Taler";"Herr";"Schönherrstr. 8";"Chemnitz";9113;"Germany";"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"KIX";1;"PASSw0rd";"Asset Maintainer,Customer Manager,FAQ Editor,News Manager,Report Manager,Service Contract Manager,Ticket Agent";1;1;"CSV file";
"contact024";"contact024@nomail.com";"contact024-2ndmail@nomail.com";;;;;"Max";"Jäger";"Herr";"Manfred-von-Ardenne-Ring 20";"Dresden";1099;"Germany";"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"KIX";1;"PASSw0rd";"Asset Maintainer,Customer Manager,FAQ Editor,News Manager,Report Manager,Service Contract Manager,Ticket Agent";1;1;"CSV file";
"contact025";"contact025@nomail.com";"contact025-2ndmail@nomail.com";;;;;"Mihailo";"Kaplaravec";"Herr";"Manfred-von-Ardenne-Ring 20";"Dresden";1099;"Germany";"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"KIX";1;"PASSw0rd";"Asset Maintainer,Customer Manager,FAQ Editor,News Manager,Report Manager,Service Contract Manager,Ticket Agent";1;1;"CSV file";
"contact026";"contact026@nomail.com";"contact026-2ndmail@nomail.com";;;;;"Mike";"Schwarzkopf";"Herr";"Manfred-von-Ardenne-Ring 20";"Dresden";1099;"Germany";"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"KIX";1;"PASSw0rd";"Asset Maintainer,Customer Manager,FAQ Editor,News Manager,Report Manager,Service Contract Manager,Ticket Agent";1;1;"CSV file";
"contact027";"contact027@nomail.com";"contact027-2ndmail@nomail.com";;;;;"Thomas";"Lehmann";"Herr";"Manfred-von-Ardenne-Ring 20";"Dresden";1099;"Germany";"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"KIX";1;"PASSw0rd";"Asset Maintainer,Customer Manager,FAQ Editor,News Manager,Report Manager,Service Contract Manager,Ticket Agent";1;1;"CSV file";
"contact028";"contact028@nomail.com";"contact028-2ndmail@nomail.com";;;;;"Steffen";"Hebel";"Herr";"Manfred-von-Ardenne-Ring 20";"Dresden";1099;"Germany";"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"KIX";1;"PASSw0rd";"Asset Maintainer,Customer Manager,FAQ Editor,News Manager,Report Manager,Service Contract Manager,Ticket Agent";1;1;"CSV file";
"contact029";"contact029@nomail.com";"contact029-2ndmail@nomail.com";;;;;"Sören";"Wollenda";"Herr";"Manfred-von-Ardenne-Ring 20";"Dresden";1099;"Germany";"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"KIX";1;"PASSw0rd";"Asset Maintainer,Customer Manager,FAQ Editor,News Manager,Report Manager,Service Contract Manager,Ticket Agent";1;1;"CSV file";
"contact030";"contact030@nomail.com";;;;;;"Karina";"Thomann";"Frau";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"HRMSHL";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact031";"contact031@nomail.com";;;;;;"Adams";"William";"Herr";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"ITKOM";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact034";"contact034@nomail.com";;;;;;"Francisco";"Álvares";"Herr";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"OSSI";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact035";"contact035@nomail.com";;;;;;"Gonçalo";"Alvarez";"Herr";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"AMK";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact036";"contact036@nomail.com";;;;;;"Roald";"Amundsen";"Herr";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"EMA";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact037";"contact037@nomail.com";;;;;;"William";"Anderson";"Herr";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"ACDC";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact038";"contact038@nomail.com";;;;;;"Salomon";"Andrée";"Herr";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"OLOG";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact039";"contact039@nomail.com";;;;;;"Roy Chapman";"Andrews";"Herr";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"OSG";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact040";"contact040@nomail.com";;;;;;"Jehan";"Ango";"Herr";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"SWG";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact041";"contact041@nomail.com";;;;;;"Pjotr Fjodorowitsch";"Anschu";"Herr";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"CCSW";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact042";"contact042@nomail.com";;;;;;"Henryk";"Arctowski";"Herr";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"LEM";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact043";"contact043@nomail.com";;;;;;"Neil";"Armstrong";"Herr";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"HMS";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact044";"contact044@nomail.com";;;;;;"Wladimir";"Arsenjew";"Herr";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"PPFA";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact045";"contact045@nomail.com";;;;;;"Väinö";"Auer";"Herr";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"247L";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact046";"contact046@nomail.com";;;;;;"Peter";"Aufschnaiter";"Herr";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"AVENT";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact047";"contact047@nomail.com";;;;;;"George";"Back";"Herr";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"HOCT";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact048";"contact048@nomail.com";;;;;;"William";"Baffin";"Herr";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"SK24";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact049";"contact049@nomail.com";;;;;;"Samuel White";"Baker";"Herr";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"FAK";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact050";"contact050@nomail.com";;;;;;"Jacques";"Balmat";"Herr";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"TKS";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact051";"contact051@nomail.com";;;;;;"Willem";"Barents";"Herr";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"RLHAM";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact052";"contact052@nomail.com";;;;;;"Heinrich";"Barth";"Herr";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"NGTWD";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact053";"contact053@nomail.com";;;;;;"Robert";"Bartlett";"Herr";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"MHHS";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact054";"contact054@nomail.com";;;;;;"George";"Bass";"Herr";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"WIW";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact055";"contact055@nomail.com";;;;;;"Henry Walter";"Bates";"Herr";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"FIT";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact056";"contact056@nomail.com";;;;;;"Nicolas";"Baudin";"Herr";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"ALB";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact057";"contact057@nomail.com";;;;;;"Oscar";"Baumann";"Herr";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"DHZ";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact058";"contact058@nomail.com";;;;;;"William";"Becknell";"Herr";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"KAFF";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact059";"contact059@nomail.com";;;;;;"Charles William";"Beebe";"Herr";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"MES";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact060";"contact060@nomail.com";;;;;;"Frederick William";"Beechey";"Herr";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"LPS";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact061";"contact061@nomail.com";;;;;;"Edward";"Belcher";"Herr";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"BERC";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact062";"contact062@nomail.com";;;;;;"Joseph-René";"Bellot";"Herr";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"ERW";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact063";"contact063@nomail.com";;;;;;"Giovanni";"Beltrame";"Herr";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"BWLC";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact064";"contact064@nomail.com";;;;;;"Giovanni Battista";"Belzoni";"Herr";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"HMG";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact065";"contact065@nomail.com";;;;;;"Moric";"Benovsky";"Herr";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"MCC";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact066";"contact066@nomail.com";;;;;;"Vitus";"Bering";"Herr";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"HRMSHL";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact067";"contact067@nomail.com";;;;;;"Louis-Gustave";"Binger";"Herr";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"ITKOM";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact068";"contact068@nomail.com";;;;;;"Hiram";"Bingham";"Herr";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"MDI";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact069";"contact069@nomail.com";;;;;;"John";"Biscoe";"Herr";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"R2T2";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact070";"contact070@nomail.com";;;;;;"Gregory";"Blaxland";"Herr";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"OSSI";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact071";"contact071@nomail.com";;;;;;"Loius";"Blériot";"Herr";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"AMK";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact072";"contact072@nomail.com";;;;;;"William";"Bligh";"Herr";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"EMA";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact073";"contact073@nomail.com";;;;;;"Daniel";"Boone";"Herr";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"ACDC";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact074";"contact074@nomail.com";;;;;;"Carsten Egeberg";"Borchgrevink";"Herr";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"OLOG";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact075";"contact075@nomail.com";;;;;;"Vittorio";"Bottego";"Herr";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"OSG";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact076";"contact076@nomail.com";;;;;;"Charles";"Bouvet";"Herr";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"SWG";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact077";"contact077@nomail.com";;;;;;"Henry";"Bowers";"Herr";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"CCSW";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact078";"contact078@nomail.com";;;;;;"Edward";"Bransfield";"Herr";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"LEM";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact079";"contact079@nomail.com";;;;;;"Peter";"Brazza";"Herr";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"HMS";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact080";"contact080@nomail.com";;;;;;"James";"Bridger";"Herr";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"PPFA";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact081";"contact081@nomail.com";;;;;;"William Georg";"Browne";"Herr";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"247L";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact082";"contact082@nomail.com";;;;;;"James";"Bruce";"Herr";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"AVENT";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact083";"contact083@nomail.com";;;;;;"William Speirs";"Bruce";"Herr";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"HOCT";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact084";"contact084@nomail.com";;;;;;"Étienne";"Brûlé";"Herr";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"SK24";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact085";"contact085@nomail.com";;;;;;"Antoinette";"Brun-Rollet";"Frau";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"FAK";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact086";"contact086@nomail.com";;;;;;"Thomas";"Brunner";"Herr";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"TKS";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact087";"contact087@nomail.com";;;;;;"Georgi Lwowitsch";"Brussiliow";"Herr";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"RLHAM";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact088";"contact088@nomail.com";;;;;;"Alexandra";"Bunge";"Frau";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"NGTWD";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact089";"contact089@nomail.com";;;;;;"Leonie";"Bunnell";"Frau";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"MHHS";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact090";"contact090@nomail.com";;;;;;"Jenny";"Burckhardt";"Frau";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"WIW";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact091";"contact091@nomail.com";;;;;;"Robert O'Hara";"Burke";"Herr";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"FIT";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact092";"contact092@nomail.com";;;;;;"William Gordon";"Burn-Murdoch";"Herr";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"ALB";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact093";"contact093@nomail.com";;;;;;"Richard Francis";"Burton";"Herr";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"DHZ";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact094";"contact094@nomail.com";;;;;;"Oskar Alexander";"Büttner";"Herr";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"KAFF";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact095";"contact095@nomail.com";;;;;;"Thomas";"Button";"Herr";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"MES";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact096";"contact096@nomail.com";;;;;;"Roberta";"Bylot";"Frau";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"LPS";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact097";"contact097@nomail.com";;;;;;"Richard E.";"Byrd";"Herr";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"BERC";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact098";"contact098@nomail.com";;;;;;"John";"Byron";"Herr";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"ERW";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact099";"contact099@nomail.com";;;;;;"Giovanni";"Caboto";"Herr";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"BWLC";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact100";"contact100@nomail.com";;;;;;"Sebastian";"Caboto";"Herr";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"HMG";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact101";"contact101@nomail.com";;;;;;"Pedro Álvares";"Cabral";"Herr";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"MCC";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact102";"contact102@nomail.com";;;;;;"João Rodrigues";"Cabrilho";"Herr";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"HRMSHL";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact103";"contact103@nomail.com";;;;;;"Alvise";"Cadamosto";"Herr";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"ITKOM";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact104";"contact104@nomail.com";;;;;;"Umberto";"Cagni";"Herr";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"MDI";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact105";"contact105@nomail.com";;;;;;"Frederic";"Cailliaud";"Herr";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"R2T2";1;"PASSw0rd";"Customer";;1;"CSV file";
"contact106";"contact106@nomail.com";;;;;;"René";"Freymann";"Frau";;;;;"+49 123 45 67 8";"+49 170 111 222 333";"-";"-";"OSSI";1;"PASSw0rd";"Customer";;1;"CSV file";
