"Number";"Name";"Deployment State";"Incident State";"SectionGeneral::1::ParentService";"SectionGeneral::1::Type";"SectionGeneral::1::Criticality";"SectionGeneral::1::Specification";"SectionGeneral::1::ServiceOwner::1";"SectionGeneral::1::ServiceOwner::2";"SectionGeneral::1::ServiceOwner::3";"SectionGeneral::1::ServiceOwner::4";"SectionGeneral::1::ServiceOwner::5";"SectionDependencies::1::RequiredService";"SectionDependencies::1::RequiredAsset";"SectionServiceCatalog::1::AssignedSLA"
;"HW-Replacement";"Production";"Operational";"Client-/Desktop Services";"IT Operational";"4-none/minor";;"contact028@nomail.com";"contact029@nomail.com";"contact023@nomail.com";"contact024@nomail.com";"contact025@nomail.com";;;
;"Backup (Client)";"Production";"Operational";"Client-/Desktop Services";"IT Operational";"1-existential";;"contact028@nomail.com";"contact029@nomail.com";"contact023@nomail.com";"contact024@nomail.com";"contact025@nomail.com";"Bacula";"ddsrv009";
;"Recovery (Client)";"Production";"Operational";"Client-/Desktop Services";"IT Operational";"1-existential";;"contact028@nomail.com";"contact029@nomail.com";"contact023@nomail.com";"contact024@nomail.com";"contact025@nomail.com";"Bacula";"ddsrv009";
;"Printer Support";"Production";"Operational";"Client-/Desktop Services";"IT Operational";"3-support process";;"contact028@nomail.com";"contact029@nomail.com";"contact023@nomail.com";"contact024@nomail.com";"contact025@nomail.com";"Print Server";"ddsrv009";
;"Toner/Cartridge Replacement";"Production";"Operational";"Printer Support";"IT Operational";"3-support process";;"contact028@nomail.com";"contact029@nomail.com";"contact023@nomail.com";"contact024@nomail.com";"contact025@nomail.com";;;
;"Paper Refillment";"Production";"Operational";"Printer Support";"IT Operational";"3-support process";;"contact028@nomail.com";"contact029@nomail.com";"contact023@nomail.com";"contact024@nomail.com";"contact025@nomail.com";;;
;"Device Replacement";"Production";"Operational";"Printer Support";"IT Operational";"3-support process";;"contact028@nomail.com";"contact029@nomail.com";"contact023@nomail.com";"contact024@nomail.com";"contact025@nomail.com";"Print Server";;
;"External Data Provision";"Production";"Operational";"Client-/Desktop Services";"Other";"3-support process";;"contact028@nomail.com";"contact029@nomail.com";"contact023@nomail.com";"contact024@nomail.com";"contact025@nomail.com";"Virtualization";"ddsrv007";
;"Mass Print";"Production";"Operational";"Client-/Desktop Services";"Other";"3-support process";;"contact028@nomail.com";"contact029@nomail.com";"contact023@nomail.com";"contact024@nomail.com";"contact025@nomail.com";"Print Server";;
;"Media Mount";"Production";"Operational";"Client-/Desktop Services";"Other";"3-support process";;"contact028@nomail.com";"contact029@nomail.com";"contact023@nomail.com";"contact024@nomail.com";"contact025@nomail.com";"Virtualization";"ddsrv007";
;"Communication and Colaboration";"Production";"Operational";;"IT Operational";"2-business critical";;"contact028@nomail.com";"contact029@nomail.com";"contact023@nomail.com";"contact024@nomail.com";"contact025@nomail.com";"Telephony/VOIP Server";"office.example.com";
;"Telephone and Voicemail";"Production";"Operational";"Communication and Colaboration";"IT Operational";"2-business critical";;"contact028@nomail.com";"contact029@nomail.com";"contact023@nomail.com";"contact024@nomail.com";"contact025@nomail.com";"Telephony/VOIP Server";"office.example.com";
;"Mobile Phone";"Production";"Operational";"Communication and Colaboration";"IT Operational";"2-business critical";;"contact028@nomail.com";"contact029@nomail.com";"contact023@nomail.com";"contact024@nomail.com";"contact025@nomail.com";"Telephony/VOIP Server";"office.example.com";
;"Video Conferencing";"Production";"Operational";"Communication and Colaboration";"IT Operational";"2-business critical";;"contact028@nomail.com";"contact029@nomail.com";"contact023@nomail.com";"contact024@nomail.com";"contact025@nomail.com";"Mail/Groupware";"office.example.com";
;"Document Share";"Production";"Operational";"Communication and Colaboration";"IT Operational";"2-business critical";;"contact028@nomail.com";"contact029@nomail.com";"contact023@nomail.com";"contact024@nomail.com";"contact025@nomail.com";"Mail/Groupware";"office.example.com";
;"Software-/Application Services";"Production";"Operational";;"IT Operational";"3-support process";;"contact028@nomail.com";"contact029@nomail.com";"contact023@nomail.com";"contact024@nomail.com";"contact025@nomail.com";"Baramundi";"office.example.com";
;"De-/Installation";"Production";"Operational";"Software-/Application Services";"IT Operational";"3-support process";;"contact028@nomail.com";"contact029@nomail.com";"contact023@nomail.com";"contact024@nomail.com";"contact025@nomail.com";"Baramundi";"office.example.com";
;"Backup (Application)";"Production";"Operational";"Software-/Application Services";"IT Operational";"3-support process";;"contact028@nomail.com";"contact029@nomail.com";"contact023@nomail.com";"contact024@nomail.com";"contact025@nomail.com";"Bacula";"office.example.com";
;"Recovery (Application)";"Production";"Operational";"Software-/Application Services";"IT Operational";"3-support process";;"contact028@nomail.com";"contact029@nomail.com";"contact023@nomail.com";"contact024@nomail.com";"contact025@nomail.com";"Bacula";"office.example.com";
;"Virtualization";"Production";"Operational";;"IT Operational";"3-support process";;"contact028@nomail.com";"contact029@nomail.com";"contact023@nomail.com";"contact024@nomail.com";"contact025@nomail.com";"vmWare Esx";"office.example.com";
;"Instance Provisioning";"Production";"Operational";"Virtualization";"IT Operational";"3-support process";;"contact028@nomail.com";"contact029@nomail.com";"contact023@nomail.com";"contact024@nomail.com";"contact025@nomail.com";"vmWare Esx";"ddsrv007";
;"Instance Removal";"Production";"Operational";"Virtualization";"IT Operational";"3-support process";;"contact028@nomail.com";"contact029@nomail.com";"contact023@nomail.com";"contact024@nomail.com";"contact025@nomail.com";"vmWare Esx";"ddsrv007";
;"Instance Reconfiguration";"Production";"Operational";"Virtualization";"IT Operational";"3-support process";;"contact028@nomail.com";"contact029@nomail.com";"contact023@nomail.com";"contact024@nomail.com";"contact025@nomail.com";"vmWare Esx";"ddsrv007";
;"PW Reset";"Production";"Operational";"User Account Management";"Other";"3-support process";;"contact028@nomail.com";"contact029@nomail.com";"contact023@nomail.com";"contact024@nomail.com";"contact025@nomail.com";"openLDAP";"ddsrv008";
;"Account Creation";"Production";"Operational";"User Account Management";"Other";"3-support process";;"contact028@nomail.com";"contact029@nomail.com";"contact023@nomail.com";"contact024@nomail.com";"contact025@nomail.com";"openLDAP";"ddsrv008";
;"Account Deactivation";"Production";"Operational";"User Account Management";"Other";"3-support process";;"contact028@nomail.com";"contact029@nomail.com";"contact023@nomail.com";"contact024@nomail.com";"contact025@nomail.com";"openLDAP";"ddsrv008";
;"Account Locking";"Production";"Operational";"User Account Management";"Other";"3-support process";;"contact028@nomail.com";"contact029@nomail.com";"contact023@nomail.com";"contact024@nomail.com";"contact025@nomail.com";"openLDAP";"ddsrv008";
;"Professional Services";"Production";"Operational";;"Other";"2-business critical";;"contact028@nomail.com";"contact029@nomail.com";"contact023@nomail.com";"contact024@nomail.com";"contact025@nomail.com";;;
;"Guaranteeing";"Production";"Operational";"Professional Services";"Other";"2-business critical";;"contact028@nomail.com";"contact029@nomail.com";"contact023@nomail.com";"contact024@nomail.com";"contact025@nomail.com";;;
;"Consulting";"Production";"Operational";"Professional Services";"Other";"2-business critical";;"contact028@nomail.com";"contact029@nomail.com";"contact023@nomail.com";"contact024@nomail.com";"contact025@nomail.com";;;
;"Hardware";"Production";"Operational";"Consulting";"Other";"2-business critical";;"contact028@nomail.com";"contact029@nomail.com";"contact023@nomail.com";"contact024@nomail.com";"contact025@nomail.com";;;
;"Software";"Production";"Operational";"Consulting";"Other";"2-business critical";;"contact028@nomail.com";"contact029@nomail.com";"contact023@nomail.com";"contact024@nomail.com";"contact025@nomail.com";;;
;"Cost Estimation";"Production";"Operational";"Professional Services";"Other";"2-business critical";;"contact028@nomail.com";"contact029@nomail.com";"contact023@nomail.com";"contact024@nomail.com";"contact025@nomail.com";;;
;"SW-Development";"Production";"Operational";"Professional Services";"Other";"2-business critical";;"contact028@nomail.com";"contact029@nomail.com";"contact023@nomail.com";"contact024@nomail.com";"contact025@nomail.com";;"ddsrv007";
;"Content-Development";"Production";"Operational";"Professional Services";"Other";"2-business critical";;"contact028@nomail.com";"contact029@nomail.com";"contact023@nomail.com";"contact024@nomail.com";"contact025@nomail.com";;;
;"Project Management";"Production";"Operational";"Professional Services";"Other";"2-business critical";;"contact028@nomail.com";"contact029@nomail.com";"contact023@nomail.com";"contact024@nomail.com";"contact025@nomail.com";;;
;"Cause Analysis";"Production";"Operational";"Professional Services";"Other";"2-business critical";;"contact028@nomail.com";"contact029@nomail.com";"contact023@nomail.com";"contact024@nomail.com";"contact025@nomail.com";;;
;"Product Development";"Production";"Operational";"Professional Services";"Other";"2-business critical";;"contact028@nomail.com";"contact029@nomail.com";"contact023@nomail.com";"contact024@nomail.com";"contact025@nomail.com";;;
;"Networking and Security Services";"Production";"Operational";;"IT Operational";"1-existential";;"contact028@nomail.com";"contact029@nomail.com";"contact023@nomail.com";"contact024@nomail.com";"contact025@nomail.com";;"office.example.com";
;"Security Incident Report";"Production";"Operational";"Networking and Security Services";"IT Operational";"1-existential";;"contact028@nomail.com";"contact029@nomail.com";"contact023@nomail.com";"contact024@nomail.com";"contact025@nomail.com";;"office.example.com";
;"LAN Administration";"Production";"Operational";"Networking and Security Services";"IT Operational";"3-support process";;"contact028@nomail.com";"contact029@nomail.com";"contact023@nomail.com";"contact024@nomail.com";"contact025@nomail.com";"Technical Services - Infrastructure";"office.example.com";
;"WAN Administration";"Production";"Operational";"Networking and Security Services";"IT Operational";"3-support process";;"contact028@nomail.com";"contact029@nomail.com";"contact023@nomail.com";"contact024@nomail.com";"contact025@nomail.com";"Technical Services - Infrastructure";"office.example.com";
;"Contentfilter";"Production";"Operational";"Networking and Security Services";"IT Operational";"3-support process";;"contact028@nomail.com";"contact029@nomail.com";"contact023@nomail.com";"contact024@nomail.com";"contact025@nomail.com";"Technical Services - Infrastructure";"office.example.com";
;"Web";"Production";"Operational";"Contentfilter";"IT Operational";"3-support process";;"contact028@nomail.com";"contact029@nomail.com";"contact023@nomail.com";"contact024@nomail.com";"contact025@nomail.com";;"office.example.com";
;"Mail";"Production";"Operational";"Contentfilter";"IT Operational";"3-support process";;"contact028@nomail.com";"contact029@nomail.com";"contact023@nomail.com";"contact024@nomail.com";"contact025@nomail.com";;"office.example.com";
;"Firewall Setup";"Production";"Operational";"Contentfilter";"IT Operational";"1-existential";;"contact028@nomail.com";"contact029@nomail.com";"contact023@nomail.com";"contact024@nomail.com";"contact025@nomail.com";;"office.example.com";
;"VPN Configuration";"Production";"Operational";"Contentfilter";"IT Operational";"1-existential";;"contact028@nomail.com";"contact029@nomail.com";"contact023@nomail.com";"contact024@nomail.com";"contact025@nomail.com";;"office.example.com";
;"Sales and Marketing";"Production";"Operational";;"Other";"3-support process";;"contact028@nomail.com";"contact029@nomail.com";"contact023@nomail.com";"contact024@nomail.com";"contact025@nomail.com";;;
;"Event Organization";"Production";"Operational";"Sales and Marketing";"Other";"4-none/minor";;"contact028@nomail.com";"contact029@nomail.com";"contact023@nomail.com";"contact024@nomail.com";"contact025@nomail.com";;;
;"Lead Registration";"Production";"Operational";"Sales and Marketing";"Other";"4-none/minor";;"contact028@nomail.com";"contact029@nomail.com";"contact023@nomail.com";"contact024@nomail.com";"contact025@nomail.com";;;
;"Bid Proposal Management";"Production";"Operational";"Sales and Marketing";"Other";"4-none/minor";;"contact028@nomail.com";"contact029@nomail.com";"contact023@nomail.com";"contact024@nomail.com";"contact025@nomail.com";;;
;"Contact Management";"Production";"Operational";"Sales and Marketing";"Other";"3-support process";;"contact028@nomail.com";"contact029@nomail.com";"contact023@nomail.com";"contact024@nomail.com";"contact025@nomail.com";;;
;"Reference- and Success Story Management";"Production";"Operational";"Sales and Marketing";"Other";"4-none/minor";;"contact028@nomail.com";"contact029@nomail.com";"contact023@nomail.com";"contact024@nomail.com";"contact025@nomail.com";;;
;"PR- and Social Media Communication";"Production";"Operational";"Sales and Marketing";"Other";"4-none/minor";;"contact028@nomail.com";"contact029@nomail.com";"contact023@nomail.com";"contact024@nomail.com";"contact025@nomail.com";;;
;"Competitor Monitoring";"Production";"Operational";"Sales and Marketing";"Other";"4-none/minor";;"contact028@nomail.com";"contact029@nomail.com";"contact023@nomail.com";"contact024@nomail.com";"contact025@nomail.com";;;
